,Date-Time,Soil Moisture,Temperature,Humidity
0,2021-05-26 14:45:06,887,34.4,57
1,2021-05-26 14:45:06,886,34.5,59
2,2021-05-26 14:45:06,861,34.4,57
3,2021-05-26 14:45:06,890,34.5,58
4,2021-05-26 14:45:06,886,34.4,58
5,2021-05-26 14:45:06,888,34.5,58
6,2021-05-26 14:45:06,888,34.4,58
7,2021-05-26 14:45:06,887,34.5,57
8,2021-05-26 14:45:06,888,34.3,58
9,2021-05-26 14:45:06,892,34.5,57
10,2021-05-26 14:45:06,860,34.5,57
11,2021-05-26 14:45:06,883,34.5,56
12,2021-05-26 14:45:06,884,34.5,56
13,2021-05-26 14:45:06,886,34.5,57
14,2021-05-26 14:45:06,881,34.5,57
15,2021-05-26 14:45:06,886,34.5,57
16,2021-05-26 14:45:06,885,34.5,59
